registration_number,surname,firstname,other_names,gender,parent_number,address,current_class
597,Gidwani,Nitesh,Nick,Male,8005657168,abc,11th
34,Gidwani,Nitesh,Nick,Male,8005657168,abc,11th
35,Gidwani,Nitesh,Nick,Male,8005657169,abc,11th
65,Gidwani,Nitesh,Nick,Male,8005657170,abc,11th
89,Gidwani,Nitesh,Nick,Male,8005657171,abc,11th
45,Gidwani,Nitesh,Nick,Male,8005657172,abc,11th
89,Gidwani,Nitesh,Nick,Male,8005657173,abc,11th
45,Gidwani,Nitesh,Nick,Male,8005657174,abc,11th
475,Gidwani,Nitesh,Nick,Male,8005657175,abc,11th
4567,Gidwani,Nitesh,Nick,Male,8005657176,abc,11th
5678679,Gidwani,Nitesh,Nick,Male,8005657177,abc,11th
78,Gidwani,Nitesh,Nick,Male,8005657178,abc,11th
9789,Gidwani,Nitesh,Nick,Male,8005657179,abc,11th
7809890,Gidwani,Nitesh,Nick,Male,8005657180,abc,11th
7,Gidwani,Nitesh,Nick,Male,8005657181,abc,11th
9890,Gidwani,Nitesh,Nick,Male,8005657182,abc,11th
23,Gidwani,Nitesh,Nick,Male,8005657183,abc,11th
96,Gidwani,Nitesh,Nick,Male,8005657184,abc,11th
